Vertex,Degrees of vertices when n=200 and r=0.160000
10,0
200,2
181,4
107,4
84,5
151,5
35,5
122,5
70,5
61,5
159,6
118,6
74,6
32,6
16,7
126,7
27,7
195,7
128,7
42,7
95,7
102,7
48,8
101,8
18,8
197,8
114,8
167,8
190,8
63,8
40,8
168,8
141,8
135,8
193,8
170,8
142,8
149,9
51,9
145,9
71,9
26,9
13,9
58,9
146,9
134,9
112,9
157,9
14,9
77,9
39,9
9,9
86,9
173,10
7,10
182,10
68,10
110,10
43,10
184,10
106,11
69,11
46,11
92,11
137,11
45,11
199,11
187,11
23,11
28,11
90,12
60,12
38,12
8,12
72,12
140,12
111,12
192,12
83,12
189,12
139,12
25,12
88,12
15,12
171,12
2,12
78,12
113,12
136,12
115,12
123,13
89,13
62,13
94,13
50,13
105,13
188,13
49,13
180,13
133,14
174,14
164,14
33,14
76,14
17,14
97,14
66,14
34,14
11,14
153,14
98,14
130,15
96,15
191,15
65,15
20,15
117,15
165,15
172,15
108,15
41,15
129,15
176,15
100,16
1,16
44,16
150,16
85,16
158,16
125,16
53,16
161,16
37,16
12,16
21,16
177,16
6,16
147,16
91,16
120,17
80,17
183,17
185,17
47,17
119,17
24,17
116,17
57,17
121,17
194,17
143,17
152,17
81,17
87,18
186,18
56,18
160,18
19,18
178,18
59,18
30,18
138,18
73,18
55,18
104,19
179,19
75,19
93,19
163,19
198,19
132,19
109,19
5,19
64,20
3,20
29,20
103,20
31,20
127,20
166,20
156,21
54,21
154,21
36,21
196,21
99,21
175,21
148,21
79,21
52,22
67,22
169,22
162,22
131,22
124,23
22,23
155,23
144,23
82,23
4,24
